timestamp	publication_number	category	status	local_pdf_path
2026-04-30T16:13:10+00:00	AU2019320336B2	whole_adc_combination	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/whole_adc_combination/whole_adc_combination__AU2019320336B2__daiichi_sankyo_company_limited__2018__combination_of_antibody_drug_conjugate_and_tubulin_inhibitor.pdf
2026-04-30T16:13:12+00:00	EP3903828A1	whole_adc_combination	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/whole_adc_combination/whole_adc_combination__EP3903828A1__daiichi_sankyo_company_limited__2018__combination_of_antibody_drug_conjugate_and_kinase_inhibitor.pdf
2026-04-30T16:13:40+00:00	US9987374B2	conjugation_dar_process	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/conjugation_dar_process/conjugation_dar_process__US9987374B2__seattle_genetics_inc__2013__cyclodextrin_and_antibody_drug_conjugate_formulations.pdf
2026-04-30T16:13:42+00:00	US10391181B2	conjugation_dar_process	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/conjugation_dar_process/conjugation_dar_process__US10391181B2__seattle_genetics_inc__2013__cyclodextrin_and_antibody_drug_conjugate_formulations.pdf
2026-04-30T16:13:43+00:00	US9610361B2	conjugation_dar_process	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/conjugation_dar_process/conjugation_dar_process__US9610361B2__seattle_genetics_inc__2013__cyclodextrin_and_antibody_drug_conjugate_formulations.pdf
2026-04-30T16:13:44+00:00	CA2901575C	conjugation_dar_process	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/conjugation_dar_process/conjugation_dar_process__CA2901575C__seattle_genetics_inc__2013__cyclodextrin_and_antibody_drug_conjugate_formulations.pdf
2026-04-30T16:13:46+00:00	US20170232112A1	conjugation_dar_process	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/conjugation_dar_process/conjugation_dar_process__US20170232112A1__seattle_genetics_inc__2013__cyclodextrin_and_antibody_drug_conjugate_formulations.pdf
2026-04-30T16:13:48+00:00	AU2019320336B2	whole_adc_combination	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/whole_adc_combination/whole_adc_combination__AU2019320336B2__daiichi_sankyo_company_limited__2018__combination_of_antibody_drug_conjugate_and_tubulin_inhibitor.pdf
2026-04-30T16:13:50+00:00	EP3903828A1	whole_adc_combination	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/whole_adc_combination/whole_adc_combination__EP3903828A1__daiichi_sankyo_company_limited__2018__combination_of_antibody_drug_conjugate_and_kinase_inhibitor.pdf
2026-04-30T16:13:52+00:00	US20220040324A1	whole_adc_combination	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/whole_adc_combination/whole_adc_combination__US20220040324A1__daiichi_sankyo_company_limited__2018__combination_of_antibody_drug_conjugate_and_kinase_inhibitor.pdf
2026-04-30T16:13:52+00:00	JP7458981B2	whole_adc_combination	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/whole_adc_combination/whole_adc_combination__JP7458981B2__untitled__2018__combination_of_antibody_drug_conjugate_and_tubulin_inhibitor.pdf
2026-04-30T16:13:56+00:00	US20250135026A1	linker	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/linker/linker__US20250135026A1__beigene_switzerland_gmbh__2021__antibody_drug_conjugates.pdf
2026-04-30T16:13:58+00:00	WO2023125530A1	linker	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/linker/linker__WO2023125530A1__beigene_ltd__2021__antibody_drug_conjugates.pdf
2026-04-30T16:13:59+00:00	JP6837273B2	conjugation_dar_process	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/conjugation_dar_process/conjugation_dar_process__JP6837273B2__untitled__2014__antibody_drug_conjugate_with_high_drug_load.pdf
2026-04-30T16:14:00+00:00	JP7194207B2	conjugation_dar_process	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/conjugation_dar_process/conjugation_dar_process__JP7194207B2__untitled__2014__antibody_drug_conjugates_with_high_drug_loading.pdf
2026-04-30T16:14:01+00:00	JP6894898B2	conjugation_dar_process	downloaded	/Users/zhixinli/Workspace/ADCdb/ADCpatent/ADC_Patents/downloads/conjugation_dar_process/conjugation_dar_process__JP6894898B2__untitled__2015__antibodies_and_antibody_fragments_for_site_specific_conjugation.pdf
