timestamp	stage	record	error
2026-04-30T16:10:07+00:00	search	"""antibody drug conjugate"""	URLError(gaierror(8, 'nodename nor servname provided, or not known'))
2026-04-30T16:10:07+00:00	search	"""antibody-drug conjugate"""	URLError(gaierror(8, 'nodename nor servname provided, or not known'))
2026-04-30T16:19:21+00:00	search	"""auristatin antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:21+00:00	search	"""auristatin antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:22+00:00	search	"""auristatin antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:22+00:00	search	"""auristatin antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:23+00:00	search	"""auristatin antibody drug conjugate"" page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:23+00:00	search	"""maytansinoid antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:24+00:00	search	"""maytansinoid antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:24+00:00	search	"""maytansinoid antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:24+00:00	search	"""maytansinoid antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:24+00:00	search	"""maytansinoid antibody drug conjugate"" page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:25+00:00	search	"""DXd antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:25+00:00	search	"""DXd antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:26+00:00	search	"""DXd antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:26+00:00	search	"""DXd antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:26+00:00	search	"""DXd antibody drug conjugate"" page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:27+00:00	search	"""exatecan antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:19:27+00:00	search	"""exatecan antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
